SWV Data Trace - Watch
"0";"adc_data";"276"
"1";"adc_min";"60"
"2";"adc_max";"4022"
SWV Data Trace - History
"READ";"1212";"";"999270178";"5.948037 s"
"READ";"2015";"";"999920699";"?"
"READ";"2833";"";"999920699";"?"
"READ";"3822";"";"999920699";"?"
"READ";"4015";"";"999920699";"?"
"READ";"4016";"";"999920699";"?"
"READ";"2096";"";"999920699";"?"
"READ";"870";"";"999920699";"?"
"READ";"183";"";"999920699";"?"
"READ";"99";"";"999920699";"?"
"READ";"600";"";"999920699";"?"
"READ";"1983";"";"999920699";"?"
"READ";"2826";"";"999920699";"?"
"READ";"4019";"";"999920699";"?"
"READ";"4018";"";"999920699";"?"
"READ";"2932";"";"999920699";"?"
"READ";"2076";"";"999920699";"?"
"READ";"695";"";"999920699";"?"
"READ";"173";"";"999920699";"?"
"READ";"90";"";"999920699";"?"
"READ";"598";"";"999920699";"?"
"READ";"1923";"";"999920699";"?"
"READ";"2815";"";"999920699";"?"
"READ";"3826";"";"999920699";"?"
"READ";"4011";"";"999920699";"?"
"READ";"4012";"";"999920699";"?"
"READ";"2880";"";"999920699";"?"
"READ";"1895";"";"999920699";"?"
"READ";"646";"";"999920699";"?"
"READ";"168";"";"999920699";"?"
"READ";"92";"";"999920699";"?"
"READ";"596";"";"999920699";"?"
"READ";"1988";"";"999920699";"?"
"READ";"2830";"";"999920699";"?"
"READ";"3907";"";"999920699";"?"
"READ";"4017";"";"999920699";"?"
"READ";"3680";"";"999920699";"?"
"READ";"2077";"";"999920699";"?"
"READ";"692";"";"999920699";"?"
"READ";"166";"";"999920699";"?"
"READ";"110";"";"999920699";"?"
"READ";"1116";"";"999920699";"?"
"READ";"2031";"";"999920699";"?"
"READ";"3067";"";"999920699";"?"
"READ";"4019";"";"999920699";"?"
"READ";"3985";"";"999920699";"?"
"READ";"2881";"";"999920699";"?"
"READ";"1790";"";"999920699";"?"
"READ";"639";"";"999920699";"?"
"READ";"161";"";"999920699";"?"
"READ";"100";"";"999920699";"?"
"READ";"609";"";"999920699";"?"
"READ";"1990";"";"999920699";"?"
"READ";"2828";"";"999920699";"?"
"READ";"3905";"";"999920699";"?"
"READ";"4011";"";"999920699";"?"
"READ";"3657";"";"999920699";"?"
"READ";"2867";"";"999920699";"?"
"READ";"1438";"";"999920699";"?"
"READ";"630";"";"999920699";"?"
"READ";"91";"";"999920699";"?"
"READ";"101";"";"999920699";"?"
"READ";"1128";"";"999920699";"?"
"READ";"2031";"";"999920699";"?"
"READ";"3155";"";"999920699";"?"
"READ";"3942";"";"999920699";"?"
"READ";"4015";"";"999920699";"?"
"READ";"3563";"";"999920699";"?"
"READ";"1716";"";"999920699";"?"
"READ";"640";"";"999920699";"?"
"READ";"151";"";"999920699";"?"
"READ";"122";"";"999920699";"?"
"READ";"1195";"";"999920699";"?"
"READ";"2044";"";"999920699";"?"
"READ";"3408";"";"999920699";"?"
"READ";"4018";"";"999920699";"?"
"READ";"3641";"";"999920699";"?"
"READ";"2864";"";"999920699";"?"
"READ";"1417";"";"999920699";"?"
"READ";"626";"";"999920699";"?"
"READ";"85";"";"999920699";"?"
"READ";"109";"";"999920699";"?"
"READ";"1126";"";"999920699";"?"
"READ";"2032";"";"999920699";"?"
"READ";"3208";"";"999920699";"?"
"READ";"3941";"";"999920699";"?"
"READ";"4017";"";"999920699";"?"
"READ";"3557";"";"999920699";"?"
"READ";"2865";"";"999920699";"?"
"READ";"1333";"";"999920699";"?"
"READ";"613";"";"999920699";"?"
"READ";"70";"";"999920699";"?"
"READ";"122";"";"999920699";"?"
"READ";"1198";"";"999920699";"?"
"READ";"2049";"";"999920699";"?"
"READ";"3427";"";"999920699";"?"
"READ";"3953";"";"999920699";"?"
"READ";"4019";"";"999920699";"?"
"READ";"3534";"";"999920699";"?"
"READ";"1403";"";"999920699";"?"
"READ";"625";"";"999920699";"?"
"READ";"460";"";"999920699";"?"
"READ";"1234";"";"999920699";"?"
"READ";"2114";"";"999920699";"?"
"READ";"3478";"";"999920699";"?"
"READ";"4020";"";"999920699";"?"
"READ";"3553";"";"999920699";"?"
"READ";"2692";"";"999920699";"?"
"READ";"1319";"";"999920699";"?"
"READ";"615";"";"999920699";"?"
"READ";"78";"";"999920699";"?"
"READ";"120";"";"999920699";"?"
"READ";"2053";"";"999920699";"?"
"READ";"3429";"";"999920699";"?"
"READ";"3949";"";"999920699";"?"
"READ";"4016";"";"999920699";"?"
"READ";"3533";"";"999920699";"?"
"READ";"2287";"";"999920699";"?"
"READ";"1300";"";"999920699";"?"
"READ";"276";"";"999920699";"?"
